Date,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,month,day
2007-05-11,2,73,49,61,M,44,51,4, 0,-,-, ,M,M,M,0.00,29.39,30.03,11.7,36,12.8,5,161
2007-05-12,1,64,46,55,-2,36,46,10, 0,0435,1901, ,0,M,0.0,0.00,29.49,30.20,12.4,3,12.9,5,162
2007-05-12,2,65,47,56,M,37,46,9, 0,-,-, ,M,M,M,0.00,29.54,30.19,12.7,1,13.0,5,162
2007-05-13,1,69,43,56,-2,33,46,9, 0,0434,1902, ,0,M,0.0,0.00,29.49,30.24,6.6,14,8.1,5,163
2007-05-13,2,69,44,57,M,32,46,8, 0,-,-, ,M,M,M,0.00,29.55,30.24,6.4,11,7.6,5,163
2007-05-14,1,90,56,73,15,47,59,0, 8,0433,1903, ,0,M,0.0,0.00,29.23,29.97,16.9,21,17.3,5,164
2007-05-14,2,90,54,72,M,45,58,0, 7,-,-, ,M,M,M,0.00,29.31,29.98,14.1,21,14.6,5,164
2007-05-15,1,80,57,69,11,56,61,0, 4,0432,1904,RA BR,0,M,0.0,0.38,29.13,29.84,8.1,27,12.3,5,165
2007-05-15,2,82,56,69,M,56,61,0, 4,-,-,TSRA RA BR,M,M,M,0.60,29.19,29.83,8.1,25,10.8,5,165
2007-05-16,1,66,44,55,-4,43,48,10, 0,0431,1905,RA BR,0,M,0.0,0.14,29.33,30.03,7.8,36,12.2,5,166
2007-05-16,2,64,45,55,M,42,47,10, 0,-,-,RA BR,M,M,M,0.07,29.39,30.03,8.0,36,11.8,5,166
2007-05-17,1,62,43,53,-6,32,43,12, 0,0430,1906, ,0,M,0.0,0.00,29.55,30.27,10.5,3,11.3,5,167
2007-05-17,2,61,44,53,M,32,43,12, 0,-,-, ,M,M,M,0.00,29.62,30.27,11.7,1,12.2,5,167
2007-05-18,1,71,42,57,-3,30,46,8, 0,0429,1907, ,0,M,0.0,0.00,29.53,30.25,5.4,25,7.5,5,168
2007-05-18,2,70,43,57,M,31,47,8, 0,-,-, ,M,M,M,0.00,29.60,30.26,3.4,22,5.5,5,168
2007-05-19,1,80,56,68, 8,39,53,0, 3,0428,1908, ,0,M,0.0,0.00,29.34,30.08,11.1,24,11.4,5,169
2007-05-19,2,80,56,68,M,37,53,0, 3,-,-, ,M,M,M,0.00,29.41,30.08,11.1,23,11.4,5,169
2007-05-20,1,69,43,56,-5,40,44,9, 0,0427,1909,RA VCTS,0,M,0.0,0.07,29.38,30.11,10.4,4,10.7,5,170
2007-05-20,2,69,44,57,M,41,45,8, 0,-,-,TSRA RA,M,M,M,0.11,29.44,30.11,8.6,3,9.7,5,170
2007-05-21,1,80,44,62, 1,50,56,3, 0,0426,1910, ,0,M,0.0,0.00,29.33,30.06,6.3,11,8.2,5,171
2007-05-21,2,79,46,63,M,50,57,2, 0,-,-, ,M,M,M,0.00,29.39,30.05,6.3,10,7.8,5,171
2007-05-22,1,87,55,71,10,46,58,0, 6,0425,1911, ,0,M,0.0,0.00,29.34,30.06,10.0,18,10.2,5,172
2007-05-22,2,87,60,74,M,44,58,0, 9,-,-, ,M,M,M,0.00,29.41,30.05,10.1,16,10.6,5,172
2007-05-23,1,89,60,75,14,49,61,0,10,0425,1912, ,0,M,0.0,0.00,29.39,30.10,11.4,19,11.8,5,173
2007-05-23,2,89,66,78,M,48,61,0,13,-,-, ,M,M,M,0.00,29.47,30.10,10.9,18,11.2,5,173
2007-05-24,1,88,63,76,14,54,63,0,11,0424,1913,RA HZ,0,M,0.0,0.02,29.41,30.11,14.9,21,17.3,5,174
2007-05-24,2,88,66,77,M,53,63,0,12,-,-,RA HZ,M,M,M,  T,29.47,30.10,13.8,20,15.2,5,174
2007-05-25,1,70,56,63, 1,44,53,2, 0,0423,1914, ,0,M,0.0,  T,29.51,30.24,4.9,5,8.8,5,175
2007-05-25,2,66,57,62,M,46,53,3, 0,-,-,RA BR,M,M,M,0.09,29.57,30.23,4.5,5,8.2,5,175
2007-05-26,1,65,49,57,-5,55,56,8, 0,0422,1915,TSRA RA BR HZ,0,M,0.0,1.01,29.36,30.11,2.8,17,7.2,5,176
2007-05-26,2,70,50,60,M,55,57,5, 0,-,-,TSRA RA BR,M,M,M,0.28,29.42,30.10,2.5,15,7.8,5,176
2007-05-27,1,75,57,66, 4,47,56,0, 1,0422,1916,RA BR,0,M,0.0,0.04,29.34,30.06,8.9,26,9.5,5,177
2007-05-27,2,75,59,67,M,49,57,0, 2,-,-,RA BR,M,M,M,0.08,29.41,30.05,8.2,24,9.2,5,177
2007-05-28,1,79,50,65, 2,47,56,0, 0,0421,1916,RA,0,M,0.0,  T,29.43,30.15,4.8,10,5.3,5,178
2007-05-28,2,76,54,65,M,49,57,0, 0,-,-, ,M,M,M,0.00,29.49,30.14,4.7,8,5.2,5,178
2007-05-29,1,88,60,74,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.00,29.39,30.11,5.8,18,6.5,5,179
2007-05-29,2,88,65,77,M,59,66,0,12,-,-,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4,5,179
2007-05-30,1,87,66,77,13,58,65,0,12,0420,1918,HZ,0,M,0.0,0.00,29.31,30.04,10.3,19,10.6,5,180
2007-05-30,2,89,70,80,M,57,66,0,15,-,-,HZ,M,M,M,0.00,29.38,30.03,9.7,17,10.1,5,180
2007-05-31,1,78,65,72, 8,61,65,0, 7,0420,1919,RA HZ,0,M,0.0,0.01,29.28,30.00,9.3,19,9.9,5,181
2007-05-31,2,80,68,74,M,61,66,0, 9,-,-,RA BR,M,M,M,0.53,29.34,29.99,8.9,18,9.2,5,181
2007-06-01,1,85,62,74,10,63,66,0, 9,0419,1920,TSRA BR HZ,0,M,0.0,0.19,29.19,29.91,4.2,17,6.4,6,181
2007-06-01,2,86,67,77,M,63,67,0,12,-,-,TSRA BR HZ,M,M,M,0.21,29.25,29.90,4.7,16,5.8,6,181
2007-06-02,1,81,65,73, 9,63,67,0, 8,0419,1920,RA BR,0,M,0.0,0.04,29.03,29.77,6.5,22,7.4,6,182
2007-06-02,2,81,68,75,M,62,67,0,10,-,-,RA BR,M,M,M,  T,29.10,29.76,7.5,21,8.2,6,182
2007-06-03,1,78,62,70, 6,60,63,0, 5,0418,1921,TSRA RA BR HZ,0,M,0.0,0.01,28.82,29.56,5.2,25,6.7,6,183
2007-06-03,2,77,64,71,M,60,64,0, 6,-,-,RA BR HZ VCTS,M,M,M,0.32,28.87,29.54,4.9,24,7.2,6,183
2007-06-04,1,71,58,65, 1,58,60,0, 0,0418,1922,TSRA RA BR,0,M,0.0,0.39,28.82,29.52,7.8,31,9.7,6,184
2007-06-04,2,72,56,64,M,57,60,1, 0,-,-,RA BR,M,M,M,0.31,28.88,29.51,7.9,30,10.1,6,184
2007-06-05,1,64,47,56,-9,48,51,9, 0,0417,1923,RA BR,0,M,0.0,0.42,29.10,29.79,5.2,5,7.6,6,185
2007-06-05,2,63,51,57,M,47,52,8, 0,-,-,RA BR,M,M,M,0.27,29.16,29.78,6.2,3,8.1,6,185
2007-06-06,1,71,44,58,-8,48,55,7, 0,0417,1923,RA,0,M,0.0,0.01,29.07,29.81,10.8,17,11.4,6,186
2007-06-06,2,73,48,61,M,47,55,4, 0,-,-,RA,M,M,M,  T,29.13,29.82,9.6,15,10.6,6,186
2007-06-07,1,91,71,81,15,62,69,0,16,0417,1924, ,0,M,0.0,0.00,28.84,29.55,22.7,20,23.1,6,187
2007-06-07,2,92,71,82,M,61,68,0,17,-,-, ,M,M,M,0.00,28.91,29.55,20.3,19,20.7,6,187
2007-06-08,1,81,57,69, 3,53,61,0, 4,0417,1925, ,0,M,0.0,0.00,29.18,29.85,10.9,28,13.8,6,188
2007-06-08,2,81,63,72,M,54,62,0, 7,-,-, ,M,M,M,0.00,29.24,29.83,9.3,26,12.4,6,188
2007-06-09,1,79,52,66, 0,47,57,0, 1,0416,1925, ,0,M,0.0,0.00,29.36,30.07,0.3,33,5.0,6,189
2007-06-09,2,79,57,68,M,49,58,0, 3,-,-, ,M,M,M,0.00,29.42,30.05,2.4,19,4.7,6,189
2007-06-10,1,81,55,68, 1,51,59,0, 3,0416,1926, ,0,M,0.0,0.00,29.34,30.05,4.8,17,5.6,6,190
2007-06-10,2,81,61,71,M,50,60,0, 6,-,-, ,M,M,M,0.00,29.39,30.04,4.6,16,5.8,6,190
2007-06-11,1,86,58,72, 5,52,61,0, 7,0416,1926, ,0,M,0.0,0.00,29.41,30.11,4.9,11,6.9,6,191
2007-06-11,2,85,65,75,M,51,61,0,10,-,-, ,M,M,M,0.00,29.47,30.09,6.6,9,8.4,6,191
2007-06-12,1,83,62,73, 5,50,60,0, 8,0416,1927, ,0,M,0.0,0.00,29.44,30.16,8.3,5,8.8,6,192
2007-06-12,2,82,66,74,M,51,61,0, 9,-,-, ,M,M,M,0.00,29.49,30.14,9.4,5,10.0,6,192
2007-06-13,1,87,60,74, 6,53,62,0, 9,0416,1927, ,0,M,0.0,0.00,29.36,30.09,7.2,5,8.6,6,193
2007-06-13,2,86,68,77,M,53,62,0,12,-,-, ,M,M,M,0.00,M,M,7.0,5,M,6,193
2007-06-14,1,89,64,77, 9,55,64,0,12,0416,1928, ,0,M,0.0,0.00,29.30,30.02,5.6,5,6.8,6,194
2007-06-14,2,89,68,79,M,54,63,0,14,-,-, ,M,M,M,0.00,29.36,30.00,5.9,7,6.4,6,194
2007-06-15,1,91,63,77, 9,56,64,0,12,0416,1928, ,0,M,0.0,0.00,29.28,29.99,4.1,6,4.9,6,195
2007-06-15,2,89,67,78,M,56,65,0,13,-,-, ,M,M,M,0.00,29.34,29.97,3.8,9,4.1,6,195
2007-06-16,1,93,66,80,11,60,67,0,15,0416,1929,RA HZ,0,M,0.0,  T,29.26,29.97,4.8,28,5.8,6,196
2007-06-16,2,92,68,80,M,61,68,0,15,-,-,HZ,M,M,M,  T,29.33,29.96,2.1,22,6.1,6,196
2007-06-17,1,91,70,81,12,64,70,0,16,0416,1929,HZ,0,M,0.0,0.00,29.23,29.95,2.8,11,6.3,6,197
2007-06-17,2,91,71,81,M,65,70,0,16,-,-,HZ,M,M,M,0.16,29.28,29.93,4.0,11,6.1,6,197
2007-06-18,1,89,69,79, 9,65,70,0,14,0416,1929,TSRA RA HZ,0,M,0.0,0.28,29.12,29.84,14.0,20,15.1,6,198
2007-06-18,2,89,73,81,M,65,70,0,16,-,-,TSRA RA HZ,M,M,M,0.02,29.19,29.83,12.2,20,12.6,6,198
2007-06-19,1,80,65,73, 3,55,63,0, 8,0416,1930,RA,0,M,0.0,0.58,29.26,29.95,10.7,28,11.4,6,199
2007-06-19,2,81,65,73,M,55,63,0, 8,-,-,RA BR,M,M,M,0.93,29.31,29.93,10.1,29,11.3,6,199
2007-06-20,1,84,61,73, 3,52,61,0, 8,0416,1930, ,0,M,0.0,0.00,29.39,30.10,7.8,27,8.8,6,200
2007-06-20,2,85,62,74,M,50,61,0, 9,-,-, ,M,M,M,0.00,29.46,30.09,5.9,28,7.7,6,200
2007-06-21,1,77,61,69,-1,51,60,0, 4,0416,1930,RA,0,M,0.0,0.01,29.36,30.08,3.5,3,10.7,6,201
2007-06-21,2,80,66,73,M,51,61,0, 8,-,-,RA,M,M,M,  T,29.41,30.06,3.7,2,9.6,6,201
2007-06-22,1,76,61,69,-1,50,58,0, 4,0417,1931,RA,0,M,0.0,  T,29.33,30.06,7.8,6,8.7,6,202
2007-06-22,2,75,62,69,M,49,58,0, 4,-,-,RA,M,M,M,  T,29.39,30.05,6.5,7,8.1,6,202
2007-06-23,1,67,62,65,-5,58,61,0, 0,0417,1931,RA BR,0,M,0.0,0.05,29.23,29.96,7.6,12,9.0,6,203
2007-06-23,2,68,61,65,M,60,62,0, 0,-,-,RA BR,M,M,M,0.34,29.28,29.95,7.3,11,8.1,6,203
2007-06-24,1,77,63,70,-1,62,65,0, 5,0417,1931,BR HZ,0,M,0.0,0.00,29.26,29.97,7.0,9,8.0,6,204
2007-06-24,2,75,65,70,M,62,65,0, 5,-,-,BR HZ,M,M,M,0.00,29.33,29.96,5.6,10,6.0,6,204
2007-06-25,1,89,65,77, 6,66,70,0,12,0417,1931,BR HZ,0,M,0.0,0.00,29.38,30.07,3.9,14,6.8,6,205
2007-06-25,2,86,67,77,M,67,70,0,12,-,-,BR HZ,M,M,M,0.00,29.44,30.06,4.0,12,5.9,6,205
2007-06-26,1,92,70,81,10,69,72,0,16,0418,1931,TSRA BR HZ VCTS,0,M,0.0,0.16,29.39,30.11,6.1,22,7.1,6,206
2007-06-26,2,91,73,82,M,69,72,0,17,-,-,BR HZ,M,M,M,  T,29.45,30.09,7.3,21,8.1,6,206
2007-06-27,1,91,71,81,10,70,72,0,16,0418,1931,TSRA,0,M,0.0,0.15,29.29,30.02,7.5,24,8.8,6,207
2007-06-27,2,89,71,80,M,69,72,0,15,-,-,TSRA RA BR,M,M,M,0.35,29.36,30.00,7.9,24,8.5,6,207
2007-06-28,1,74,58,66,-5,55,60,0, 1,0419,1931, ,0,M,0.0,0.00,29.41,30.09,11.9,3,12.5,6,208
2007-06-28,2,73,61,67,M,56,61,0, 2,-,-, ,M,M,M,M,29.43,30.07,12.2,2,13.3,6,208
2007-06-29,1,70,56,63,-8,55,59,2, 0,0419,1931, ,0,M,0.0,0.00,29.41,30.13,7.6,2,8.3,6,209
2007-06-29,2,71,56,64,M,56,60,1, 0,-,-, ,M,M,M,M,29.47,30.11,7.4,2,8.2,6,209
2007-06-30,1,79,54,67,-5,46,56,0, 2,0419,1931, ,0,M,0.0,0.00,29.41,30.13,4.9,3,5.8,6,210
2007-06-30,2,77,58,68,M,49,58,0, 3,-,-, ,M,M,M,0.00,29.46,30.11,5.1,4,6.2,6,210
2007-07-01,1,75,54,65,-7,52,58,0, 0,0420,1931, ,0,M,0.0,0.00,29.51,30.23,8.6,4,8.6,7,211
2007-07-01,2,76,61,69,M,51,59,0, 4,-,-, ,M,M,M,0.00,29.56,30.21,9.5,4,9.7,7,211
2007-07-02,1,79,53,66,-6,50,58,0, 1,0420,1931, ,0,M,0.0,0.00,29.49,30.22,5.9,14,8.1,7,212
2007-07-02,2,77,58,68,M,50,59,0, 3,-,-, ,M,M,M,0.00,29.55,30.21,7.4,12,8.5,7,212
2007-07-03,1,83,60,72, 0,57,63,0, 7,0421,1931,TSRA RA BR,0,M,0.0,0.40,29.31,30.06,6.7,21,7.3,7,213
2007-07-03,2,83,63,73,M,56,63,0, 8,-,-,TSRA RA,M,M,M,0.09,29.38,30.05,6.4,21,7.4,7,213
2007-07-04,1,86,67,77, 5,65,69,0,12,0422,1930,TSRA BR HZ FU,0,M,0.0,0.16,29.18,29.90,4.6,27,8.2,7,214
2007-07-04,2,84,67,76,M,65,69,0,11,-,-,TSRA RA HZ FU,M,M,M,0.66,29.23,29.88,3.1,25,8.8,7,214
2007-07-05,1,89,71,80, 8,60,67,0,15,0422,1930,BR HZ FU,0,M,0.0,0.00,29.24,29.94,6.4,31,8.1,7,215
2007-07-05,2,88,70,79,M,60,67,0,14,-,-,BR,M,M,M,0.00,29.29,29.92,4.3,33,6.9,7,215
2007-07-06,1,86,66,76, 4,57,64,0,11,0423,1930, ,0,M,0.0,0.00,29.32,30.03,3.2,5,5.5,7,216
2007-07-06,2,84,68,76,M,57,65,0,11,-,-, ,M,M,M,0.00,29.38,30.01,3.3,7,5.5,7,216
2007-07-07,1,90,64,77, 5,63,69,0,12,0423,1930, ,0,M,0.0,0.00,29.18,29.91,8.4,22,8.6,7,217
2007-07-07,2,88,68,78,M,62,68,0,13,-,-, ,M,M,M,0.00,29.24,29.90,7.4,23,8.1,7,217
2007-07-08,1,94,75,85,12,67,72,0,20,0424,1929, ,0,M,0.0,0.00,29.05,29.77,12.9,24,13.1,7,218
2007-07-08,2,93,75,84,M,67,72,0,19,-,-, ,M,M,M,0.00,29.12,29.76,12.6,23,12.7,7,218
2007-07-09,1,94,70,82, 9,66,70,0,17,0425,1929,TSRA RA VCTS,0,M,0.0,0.30,29.11,29.80,4.9,24,8.8,7,219
2007-07-09,2,93,72,83,M,67,71,0,18,-,-,RA,M,M,M,0.24,29.16,29.79,4.8,23,8.8,7,219
2007-07-10,1,89,69,79, 6,67,70,0,14,0425,1929,HZ VCTS,0,M,0.0,0.43,29.06,29.77,8.6,23,10.5,7,220
2007-07-10,2,89,70,80,M,67,71,0,15,-,-,TSRA HZ,M,M,M,0.08,29.13,29.76,8.2,23,10.2,7,220
2007-07-11,1,77,62,70,-3,51,59,0, 5,0426,1928, ,0,M,0.0,0.00,29.23,29.93,8.8,30,10.9,7,221
2007-07-11,2,77,63,70,M,51,59,0, 5,-,-, ,M,M,M,0.00,29.28,29.92,9.1,30,11.2,7,221
2007-07-12,1,80,61,71,-2,51,59,0, 6,0427,1928, ,0,M,0.0,0.00,29.22,29.93,9.4,29,11.1,7,222
2007-07-12,2,80,60,70,M,51,60,0, 5,-,-,VCTS,M,M,M,0.00,29.28,29.92,10.0,28,11.4,7,222
2007-07-13,1,78,58,68,-5,52,58,0, 3,0428,1927, ,0,M,0.0,0.00,29.26,29.98,1.4,1,5.3,7,223
2007-07-13,2,74,59,67,M,53,59,0, 2,-,-, ,M,M,M,0.00,29.33,29.98,2.0,7,5.8,7,223
2007-07-14,1,84,61,73, 0,55,62,0, 8,0428,1927, ,0,M,0.0,0.00,29.08,29.79,8.3,26,13.2,7,224
2007-07-14,2,85,62,74,M,55,62,0, 9,-,-, ,M,M,M,0.00,29.14,29.79,8.4,25,13.9,7,224
2007-07-15,1,82,60,71,-3,53,61,0, 6,0429,1926, ,0,M,0.0,0.00,29.19,29.89,2.1,29,4.9,7,225
2007-07-15,2,80,64,72,M,52,61,0, 7,-,-, ,M,M,M,0.00,29.25,29.88,1.2,9,6.5,7,225
2007-07-16,1,82,65,74, 0,60,65,0, 9,0430,1925,RA BR,0,M,0.0,0.39,29.25,29.96,4.4,24,5.2,7,226
2007-07-16,2,82,66,74,M,60,65,0, 9,-,-,TSRA RA,M,M,M,0.07,29.31,29.94,5.6,23,6.6,7,226
2007-07-17,1,83,68,76, 2,66,69,0,11,0431,1925,RA BR VCTS,0,M,0.0,0.11,29.18,29.90,5.2,23,6.5,7,227
2007-07-17,2,83,69,76,M,65,69,0,11,-,-,RA BR,M,M,M,0.11,29.24,29.89,6.3,23,7.4,7,227
2007-07-18,1,85,69,77, 3,68,71,0,12,0432,1924,TSRA RA BR VCTS,0,M,0.0,1.55,29.11,29.84,9.1,24,10.1,7,228
2007-07-18,2,85,69,77,M,69,71,0,12,-,-,TS TSRA RA BR HZ VCTS,M,M,M,0.92,29.18,29.83,10.3,24,10.6,7,228
2007-07-19,1,83,63,73,-1,63,66,0, 8,0433,1923,DZ BR,0,M,0.0,0.16,29.21,29.90,7.0,1,11.9,7,229
2007-07-19,2,82,63,73,M,62,66,0, 8,-,-,BR HZ,M,M,M,0.01,29.26,29.88,7.7,36,14.4,7,229
2007-07-20,1,75,58,67,-7,53,59,0, 2,0433,1923, ,0,M,0.0,0.00,29.44,30.14,8.6,3,9.1,7,230
2007-07-20,2,74,62,68,M,52,59,0, 3,-,-, ,M,M,M,0.00,29.49,30.12,11.3,4,11.5,7,230
2007-07-21,1,74,58,66,-8,52,58,0, 1,0434,1922, ,0,M,0.0,0.00,29.51,30.22,6.5,3,7.4,7,231
2007-07-21,2,75,58,67,M,52,59,0, 2,-,-, ,M,M,M,0.00,29.57,30.21,5.8,4,7.4,7,231
2007-07-22,1,81,58,70,-4,55,61,0, 5,0435,1921, ,0,M,0.0,0.00,29.49,30.21,1.7,16,3.3,7,232
2007-07-22,2,81,61,71,M,54,61,0, 6,-,-, ,M,M,M,0.00,29.54,30.20,1.9,18,3.5,7,232
2007-07-23,1,83,60,72,-2,55,63,0, 7,0436,1920, ,0,M,0.0,0.00,29.37,30.10,3.2,9,4.0,7,233
2007-07-23,2,82,63,73,M,55,63,0, 8,-,-, ,M,M,M,0.00,29.42,30.09,2.9,12,3.9,7,233
2007-07-24,1,82,65,74, 0,58,64,0, 9,0437,1919, ,0,M,0.0,0.00,29.32,30.04,3.1,20,5.2,7,234
2007-07-24,2,82,65,74,M,57,64,0, 9,-,-, ,M,M,M,  T,29.38,30.03,1.1,21,4.9,7,234
2007-07-25,1,85,71,78, 4,61,67,0,13,0438,1918, ,0,M,0.0,  T,29.29,30.00,5.8,25,6.6,7,235
2007-07-25,2,83,70,77,M,60,66,0,12,-,-, ,M,M,M,0.00,29.35,29.99,6.4,23,7.0,7,235
2007-07-26,1,83,66,75, 1,65,68,0,10,0439,1918,TS TSRA RA BR HZ,0,M,0.0,0.19,29.19,29.92,7.2,22,9.4,7,236
2007-07-26,2,84,64,74,M,65,68,0, 9,-,-,TS TSRA BR HZ,M,M,M,0.89,29.25,29.91,7.2,22,9.9,7,236
2007-07-27,1,83,70,77, 3,68,70,0,12,0440,1917,RA BR HZ,0,M,0.0,0.17,29.11,29.82,3.0,3,7.9,7,237
2007-07-27,2,83,70,77,M,67,70,0,12,-,-,RA BR HZ,M,M,M,0.04,29.16,29.80,1.2,36,8.1,7,237
2007-07-28,1,80,66,73,-1,65,68,0, 8,0441,1916,BR HZ,0,M,0.0,0.00,29.23,29.93,10.0,3,10.2,7,238
2007-07-28,2,80,70,75,M,65,68,0,10,-,-,BR HZ,M,M,M,0.00,29.28,29.91,10.6,3,10.7,7,238
2007-07-29,1,85,63,74, 0,57,64,0, 9,0442,1915, ,0,M,0.0,0.00,29.28,29.99,4.8,5,5.7,7,239
2007-07-29,2,85,67,76,M,56,64,0,11,-,-, ,M,M,M,0.00,29.34,29.97,6.3,5,6.9,7,239
2007-07-30,1,89,62,76, 2,55,64,0,11,0443,1914, ,0,M,0.0,0.00,29.33,30.03,3.8,6,4.3,7,240
2007-07-30,2,86,65,76,M,57,65,0,11,-,-, ,M,M,M,0.00,29.39,30.01,3.1,6,4.6,7,240
2007-07-31,1,91,68,80, 6,61,68,0,15,0444,1913, ,0,M,0.0,0.00,29.33,30.04,3.3,4,4.9,7,241
2007-07-31,2,89,69,79,M,60,68,0,14,-,-, ,M,M,M,0.00,29.39,30.02,4.0,7,5.0,7,241
2007-08-01,1,92,69,81, 8,62,69,0,16,0445,1911,HZ,0,M,0.0,0.00,29.29,30.00,3.5,9,4.1,8,241
2007-08-01,2,91,69,80,M,63,70,0,15,-,-, ,M,M,M,0.00,29.34,29.98,2.1,13,3.7,8,241
2007-08-02,1,91,70,81, 8,66,71,0,16,0446,1910,HZ,0,M,0.0,0.00,29.26,29.97,5.5,26,5.9,8,242
2007-08-02,2,91,73,82,M,66,72,0,17,-,-, ,M,M,M,0.00,29.31,29.95,6.5,23,7.2,8,242
2007-08-03,1,90,69,80, 7,56,66,0,15,0447,1909, ,0,M,0.0,0.00,29.31,30.02,2.7,3,5.7,8,243
2007-08-03,2,88,73,81,M,58,67,0,16,-,-, ,M,M,M,0.00,29.36,30.00,3.3,6,5.8,8,243
2007-08-04,1,81,64,73, 0,58,64,0, 8,0448,1908,RA,0,M,0.0,0.03,29.31,30.03,5.7,8,6.1,8,244
2007-08-04,2,81,68,75,M,58,65,0,10,-,-,RA,M,M,M,0.02,29.36,30.01,5.9,9,6.6,8,244
2007-08-05,1,88,67,78, 5,71,73,0,13,0449,1907,TSRA RA BR HZ,0,M,0.0,1.43,29.08,29.81,5.4,21,9.6,8,245
2007-08-05,2,88,68,78,M,71,72,0,13,-,-,TSRA RA BR VCTS,M,M,M,0.97,29.15,29.79,7.0,22,10.2,8,245
2007-08-06,1,88,74,81, 8,72,74,0,16,0450,1906,TSRA RA BR HZ,0,M,0.0,0.26,29.13,29.83,1.6,10,4.9,8,246
2007-08-06,2,85,75,80,M,72,74,0,15,-,-,TS TSRA BR HZ,M,M,M,0.05,29.17,29.81,2.6,10,4.6,8,246
2007-08-07,1,91,72,82, 9,73,76,0,17,0451,1904,RA BR,0,M,0.0,1.31,29.06,29.76,6.2,25,9.0,8,247
2007-08-07,2,92,73,83,M,73,76,0,18,-,-,VCTS,M,M,M,0.06,29.11,29.74,6.3,24,8.8,8,247
2007-08-08,1,87,73,80, 7,71,73,0,15,0452,1903,TSRA RA BR,0,M,0.0,0.06,29.13,29.83,3.0,3,6.9,8,248
2007-08-08,2,87,74,81,M,72,74,0,16,-,-,TSRA RA DZ BR HZ,M,M,M,0.09,29.18,29.81,1.5,4,6.4,8,248
2007-08-09,1,84,72,78, 5,71,73,0,13,0453,1902,TSRA RA,0,M,0.0,0.05,29.13,29.84,2.5,29,6.0,8,249
